n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
16,489125,2.76691e+006,0,0,0,0,1.5652e+007
32,3.13038e+006,5.84731e+006,0,0,0,2.42375e+006,1.5653e+007
64,5.62422e+007,8.09257e+006,4.631e+007,4.78265e+007,5.78995e+007,6.3364e+007,7.3561e+007
128,1.15172e+009,3.51923e+007,1.1079e+009,1.13478e+009,1.14146e+009,1.15877e+009,1.27631e+009
256,2.02613e+010,3.89763e+009,1.86869e+010,1.89445e+010,1.9086e+010,1.92183e+010,3.82537e+010
512,3.00955e+011,6.58423e+009,2.93272e+011,2.947e+011,3.02395e+011,3.04297e+011,3.20039e+011
