n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
16,192500,797093,0,0,0,0,4.057e+006
32,432875,1.74466e+006,0,0,0,0,8.412e+006
64,2.33301e+007,6.4187e+006,1.3762e+007,1.5928e+007,2.4031e+007,2.8797e+007,3.1918e+007
128,3.25763e+008,1.36743e+007,3.139e+008,3.1676e+008,3.18426e+008,3.33414e+008,3.64192e+008
256,4.85843e+009,4.87487e+007,4.78475e+009,4.81429e+009,4.86317e+009,4.89852e+009,4.94231e+009
512,7.47449e+010,2.39133e+008,7.44856e+010,7.46322e+010,7.46996e+010,7.47986e+010,7.58189e+010
