n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
16,985406,3.87762e+006,0,0,0,0,1.5869e+007
32,1.81053e+006,4.81234e+006,0,0,0,0,1.575e+007
64,3.86628e+007,7.06774e+006,2.7182e+007,3.18165e+007,3.8595e+007,4.73718e+007,4.7867e+007
128,7.11936e+008,1.95594e+007,6.84043e+008,6.97727e+008,7.1125e+008,7.15952e+008,7.72155e+008
256,1.17226e+010,1.00379e+008,1.15179e+010,1.16841e+010,1.17206e+010,1.17641e+010,1.19934e+010
512,1.84447e+011,6.24432e+008,1.82928e+011,1.84102e+011,1.84364e+011,1.84725e+011,1.8592e+011
